product,complaints,median_days
Checking or savings account,110183,0.0
Credit card,108718,0.0
Credit reporting or other personal consumer reports,1661995,0.0
Debt collection,221546,0.0
Debt or credit management,5546,0.0
"Money transfer, virtual currency, or money service",87448,0.0
Mortgage,37718,0.0
"Payday loan, title loan, personal loan, or advance loan",18579,0.0
Prepaid card,10199,0.0
Student loan,26508,0.0
Vehicle loan or lease,27161,0.0
