precision,recall,threshold
0.02587,1.0,3.8531491076437294e-05
0.025870258702587027,1.0,4.141618450758144e-05
0.025870517410348206,1.0,6.897109027528538e-05
0.025871034841393657,1.0,8.734395127711508e-05
0.025871293564678235,1.0,9.580508282936343e-05
0.025871811026771874,1.0,0.00010604379124876298
0.025872069765581245,1.0,0.00011578561720560015
0.02587232850956586,1.0,0.00012476033407576726
0.025872587258725873,1.0,0.00013109471648475434
0.025872846013061435,1.0,0.00013440202284340584
0.025873363537259844,1.0,0.00013498510612539047
0.025873622307122996,1.0,0.00014314291075484748
0.025873881082162323,1.0,0.00014386925635644944
0.02587413986237798,1.0,0.00014537227912255396
0.025874657438338902,1.0,0.00014659077765704866
0.025874916234084475,1.0,0.00014665821946603842
0.025875433841106632,1.0,0.0001467537903897115
0.025875951468837834,1.0,0.00014773426330771136
0.025876210290469714,1.0,0.0001482907272158556
0.02587646911727932,1.0,0.0001542183254803209
0.02587672794926681,1.0,0.00015713443477844823
0.025876986786432337,1.0,0.00015775639770322238
0.025877245628776056,1.0,0.0001590169692742848
0.025877504476298125,1.0,0.00016234254403559644
0.025877763328998698,1.0,0.0001626256321080348
0.025878022186877934,1.0,0.0001660605725976248
0.02587828104993598,1.0,0.00016767408993058032
0.025878539918173,1.0,0.00017036698634019726
0.02587879879158914,1.0,0.00017052505924911935
0.025879057670184565,1.0,0.00017179706994423073
0.025879316553959426,1.0,0.00017252856023321567
0.025879575442913878,1.0,0.00017389927540814872
0.025879834337048078,1.0,0.00017464345835111787
0.02588009323636218,1.0,0.00017633166547384482
0.025880352140856343,1.0,0.00017765868597620412
0.025880611050530716,1.0,0.00017820703581083167
0.025880869965385463,1.0,0.00018182842864154992
0.02588112888542073,1.0,0.00018664546659611457
0.02588138781063668,1.0,0.000187801972874285
0.025881646741033465,1.0,0.00019251800569706094
0.025882164617370165,1.0,0.00019300185830849022
0.02588242356331039,1.0,0.00019433469306677926
0.02588268251443207,1.0,0.00019447762234471269
0.025882941470735367,1.0,0.00019471860167392536
0.02588320043222043,1.0,0.00019499460866188254
0.02588345939888742,1.0,0.00019538720669106578
0.025883977347767796,1.0,0.00019614476059477915
0.02588423632998149,1.0,0.00019918802146003478
0.025884495317377732,1.0,0.00020010898845464415
0.025884754309956674,1.0,0.00020023733162561982
0.025885013307718478,1.0,0.0002007066321462586
0.02588527231066329,1.0,0.00020190456224177976
0.025885531318791274,1.0,0.00020537264053799658
0.025885790332102584,1.0,0.00020637151783209243
0.025886049350597372,1.0,0.0002072544214519133
0.025886308374275795,1.0,0.0002104227409155613
0.02588656740313801,1.0,0.00021126226675894174
0.02588682643718417,1.0,0.00021161679703198224
0.025887085476414433,1.0,0.000214211603164155
0.025887344520828956,1.0,0.00021528433468578835
0.02588760357042789,1.0,0.00021777109136234405
0.025887862625211394,1.0,0.00021800650930798917
0.025888121685179625,1.0,0.00021969374983638913
0.025888380750332736,1.0,0.0002202727238597455
0.025888639820670883,1.0,0.0002203036827627847
0.025888898896194223,1.0,0.0002212471241793757
0.02588915797690291,1.0,0.00022219067258928511
0.0258894170627971,1.0,0.00022287676761558101
0.02588993525014261,1.0,0.0002228792221720958
0.025890194351594245,1.0,0.00022298848825460138
0.025890453458232,1.0,0.00022330176354879705
0.025890971687066524,1.0,0.00022537072359019494
0.025891230809263595,1.0,0.00022626421689664631
0.025891489936647416,1.0,0.00022634737605077259
0.025891749069218144,1.0,0.0002264816284143291
0.025892267349920933,1.0,0.00022707011159648878
0.025892526498053306,1.0,0.00022772299309809603
0.025893044809880795,1.0,0.00022876367781862126
0.02589330397357622,1.0,0.00022936883670847782
0.02589356314245964,1.0,0.00022942016398885565
0.025893822316531208,1.0,0.00023073654948816918
0.025894081495791085,1.0,0.00023197941067138584
0.025894599869876384,1.0,0.0002334471334141871
0.025894859064702114,1.0,0.00023369773675469016
0.025895118264716774,1.0,0.00023609639520290972
